lipid,salt conc (mono),salt conc (di),pH,Rh,temp,zeta,sd,ref,notes,,,
DMPC,100,5,7.4,60,25,2.03,0.346,this study,none,,,
POPG,100,5,7.4,60,25,-24.1,0.416,this study,none,,,
DMPC/POPG 85:15,100,5,7.4,60,25,-2.89,1.175,this study,none,,,
DMPC/POPG 70:30,100,5,7.4,60,25,-8.25,0.746,this study,none,,,
DMPC/POPG 55:45,100,5,7.4,60,25,-16.23,1.185,this study,none,,,
DMPC/POPG 20:80,100,5,7.4,60,25,-21.88,0.419,this study,none,,,
DMPG,100,5,7.4,60,25,-22,0.361,this study,none,,,
DMPC/DMPG 90:10,100,5,7.4,60,25,-3.78,0.33,this study,none,,,
DMPC/DMPG 75:25,100,5,7.4,60,25,-8.23,1.01,this study,none,,,
DMPC/DMPG 61:39,100,5,7.4,60,25,-9.63,1.3,this study,none,,,
DMPC/DMPG 53:47,100,5,7.4,60,25,-12.19,2.79,this study,none,,,
DMPC/DMPG 33:67,100,5,7.4,60,25,-14.37,1.1,this study,none,,,
DMPC/DMPG 28:72,100,5,7.4,60,25,-17.03,0.31,this study,none,,,
DMPC/DMPG 12:88,100,5,7.4,60,25,-18.57,0.49,this study,none,,,
DMPC,10,5,7.4,60,25,-3.79,0.42,this study,none,,,
DMPC,10,5,9.5,60,25,-6.16,0.68,this study,none,,,
DMPC/DMPG 50:50,10,5,9.5,60,25,-53,0.43,this study,none,,,
DMPG,10,5,9.5,60,25,-66.36,0.15,this study,none,,,
DMPC,50,0,8.5,60,25,-1.67,1.2,this study,none,,,
DMPG,50,0,9.5,60,25,-36.6,0.56,this study,none,,,
DMPG,50,0,9.5,60,25,-43.93,1.25,this study,none,,,
DMPC,100,0,7.4,60,25,-2.336666667,0.438216081,this study,none,,,
DMPC/DMPG 50:50,100,0,7.4,60,25,-19.9,0.781024968,this study,none,,,
DMPG,100,0,7.4,60,25,-22.1,0.264575131,this study,none,,,
DMPC,100,0,8.5,60,25,-2.12,0.081,this study,none,,,
DMPG,100,0,8.5,60,25,-33.63,0.153,this study,none,,,
DMPC,50,0,8.5,60,25,-3.61,0.285,this study,none,,,
DMPG,50,0,8.5,60,25,-38.3,0.913,this study,none,,,
DSPC/Chol/DOTAP 58:35:7,10,0,7.7,85,25,34,3,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 57:38:6,10,0,7.7,80,25,25,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 61:34:5,10,0,7.7,98,25,25,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 59:36:5,10,0,7.7,96,25,26,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 57:39:3,10,0,7.7,77,25,14,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 61:36:3,10,0,7.7,73,25,15,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 62:36:3,10,0,7.7,95,25,14,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOTAP 62:36:2,10,0,7.7,97,25,11,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/LP 62:38:0.2,10,0,7.7,105,25,-9,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/LP 58:40:2,10,0,7.7,85,25,-10,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/LP 63:34:3,10,0,7.7,97,25,-9,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/LP 55:34:10,10,0,7.7,109,25,-11,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:35:3,10,0,7.7,70,25,-27,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:34:4,10,0,7.7,92,25,-23,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 55:40:6,10,0,7.7,90,25,-35,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,10,0,7.7,68,25,-45,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,10,0,3.8,68,25,-21,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,10,0,5.8,68,25,-36,3,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,0,0,7.6,68,25,-63,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,20,0,7.7,68,25,-37,1,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,30,0,7.6,68,25,-32,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,40,0,7.6,68,25,-26,2,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 62:31:7,50,0,7.6,68,25,-21,3,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DSPC/Chol/DOPS 55:36:9,10,0,7.7,86,25,-45,4,"Smith, Crist, Clogsten, McNeil, 2017",none,,,
DC-Chol,100,0,7.4,152,25,63,1.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOTAP,100,0,7.4,172,25,72,4,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOTAP,100,0,7.4,168,25,70,3.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
EPC,100,0,7.4,205,25,6,0.1,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DC-Chol/DOTAP/EPC 1:1:1,100,0,7.4,165,25,64,2,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DC-Chol,100,0,7.4,178,25,71,4,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOTAP,100,0,7.4,165,25,69,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
EPC,100,0,7.4,198,25,0.5,0.1,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DOTAP/EPC 1:1:1,100,0,7.4,163,25,58,2,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/EPC 1:1:1,100,0,7.4,170,25,40,1,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP 1:1:1,100,0,7.4,170,25,68,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,160,25,61,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,165,25,62,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,163,25,60,2.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,168,25,59,3.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DMPC,0,0,7.4,2500,8,-7.1,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,2400,18,-8.8,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
